任務名稱,週次,分類,IPA,狀態,優先度,日期,我的反思
快速通讀《如何領導》,第1週,讀書,構想 Idea,未開始,高,,每章記下 1 個觀念、1 個提醒、1 個行動
列出目前最想補強的 5 個房務能力,第1週,整理,行動 Action,未開始,高,,降低焦慮，具體知道要補什麼
認識房務主管、領班、資深同仁,第1週,訪談,人才 People,未開始,高,,先建立關係，不急著管理
觀察客務與房務銜接方式,第1週,觀察,行動 Action,未開始,中,,看房況與資訊如何流動
實際跟房一次,第2週,實作,行動 Action,未開始,高,,理解退房清潔現場
觀察查房流程,第2週,觀察,行動 Action,未開始,高,,理解可售房標準
觀察備品補充與布巾流程,第2週,觀察,行動 Action,未開始,中,,理解現場常見卡點
整理團隊最在意的 3 件事,第2週,整理,人才 People,未開始,高,,從同仁角度理解壓力與需求
走完整動線：退房 → 清潔 → 查房 → 改房況 → 可售房,第3週,觀察,行動 Action,未開始,高,,看懂完整系統
整理客務與房務最常卡住的 3～5 個問題,第3週,整理,行動 Action,未開始,高,,建立改善議題基礎
觀察尖峰時段與異常處理,第3週,觀察,行動 Action,未開始,中,,理解壓力最大時流程如何運作
完成前 30 天行動清單,第3週,整理,行動 Action,未開始,高,,把觀念轉成上任行動
寫下我的房務部領導原則,第4週,整理,構想 Idea,未開始,高,,形成自己的管理版本
向主管回報學習重點與觀察,第4週,回報,人才 People,未開始,高,,讓主管看見你有方向
完成 1 頁上任手冊,第4週,整理,行動 Action,未開始,高,,可反覆查看的領導手冊
